date,value
efghi-logACC,0.6216124422026061
efghi-gbtACC,0.6406281573617639
efghi-logROC,0.672550601786074
efghi-gbtROC,0.6826741058270122
dfghi-logACC,0.6314482116244411
dfghi-gbtACC,0.642857378959838
dfghi-logROC,0.6769603431183076
dfghi-gbtROC,0.6901376013924378
deghi-logACC,0.6321475887500477
deghi-gbtACC,0.6493271236959761
deghi-logROC,0.6794073196873527
deghi-gbtROC,0.6956553840570031
defhi-logACC,0.6338960984370821
defhi-gbtACC,0.640059813137682
defhi-logROC,0.6773539518682543
defhi-gbtROC,0.6803431795019049
defgi-logACC,0.5977008292254193
defgi-gbtACC,0.6026403760174252
defgi-logROC,0.6244481601230796
defgi-gbtROC,0.6399092173614734
defgh-logACC,0.6328468990026367
defgh-gbtACC,0.6408029156635713
defgh-logROC,0.6783006931187715
defgh-gbtROC,0.6867466433394437
defghi-logACC,0.6325846899002636
defghi-gbtACC,0.6465295005540908
defghi-logROC,0.67920674113481
defghi-gbtROC,0.6916648976551383
cfghi-logACC,0.6349013431923268
cfghi-gbtACC,0.6394475428942642
cfghi-logROC,0.6790990602399797
cfghi-gbtROC,0.6895098592732476
ceghi-logACC,0.6333713172073828
ceghi-gbtACC,0.6478406893652795
ceghi-logROC,0.6826133714925993
ceghi-gbtROC,0.6963769131354555
cefhi-logACC,0.6324970193740685
cefhi-gbtACC,0.638572929802438
cefhi-logROC,0.6810131484016793
cefhi-gbtROC,0.685812504211048
cefgi-logACC,0.5940720317933433
cefgi-gbtACC,0.6025093526691887
cefgi-logROC,0.6233827924856618
cefgi-gbtROC,0.6433788249361652
cefgh-logACC,0.6334149661813596
cefgh-gbtACC,0.6381798597577286
cefgh-logROC,0.683305059613604
cefgh-gbtROC,0.6867391437133864
cefghi-logACC,0.6340269211662655
cefghi-gbtACC,0.6452179678245252
cefghi-logROC,0.6822814957559399
cefghi-gbtROC,0.6929692334152014
cdghi-logACC,0.6314483071573236
cdghi-gbtACC,0.6389231915625359
cdghi-logROC,0.6695082515610465
cdghi-gbtROC,0.6822863315701226
cdfhi-logACC,0.635513355496962
cdfhi-gbtACC,0.645785633765142
cdfhi-logROC,0.6844088604467654
cdfhi-gbtROC,0.6936562876628855
cdfgi-logACC,0.5912744373113226
cdfgi-gbtACC,0.6049135331881235
cdfgi-logROC,0.6148920679324001
cdfgi-gbtROC,0.6409753651486364
cdfgh-logACC,0.6365626886774429
cdfgh-gbtACC,0.6428570541480377
cdfgh-logROC,0.6846385081094973
cdfgh-gbtROC,0.6942544685449208
cdfghi-logACC,0.6376117830257175
cdfghi-gbtACC,0.6505508999197523
cdfghi-logROC,0.6863673258667013
cdfghi-gbtROC,0.6997983376639192
cdehi-logACC,0.6368247735870687
